metric,category,in_truth_table,in_schema_keys,in_extra_keys,observed_in_raw,in_discrepancy_table,api_suites_summary,api_suite_model_or_extra,api_inventory
control_plane.control_channel_disconnect_count,control_plane,False,False,True,True,True,False,True,True
control_plane.control_channel_rtt_ms,control_plane,False,False,True,True,True,False,True,True
control_plane.policy_name,control_plane,True,True,False,True,False,False,True,True
control_plane.policy_state,control_plane,True,True,False,True,False,False,True,True
control_plane.policy_suite_index,control_plane,True,True,False,True,False,False,True,True
control_plane.policy_total_suites,control_plane,True,True,False,True,False,False,True,True
control_plane.scheduler_action_reason,control_plane,True,True,False,True,False,False,True,True
control_plane.scheduler_action_type,control_plane,True,True,False,True,False,False,True,True
control_plane.scheduler_cooldown_remaining_ms,control_plane,False,False,True,True,True,False,True,True
control_plane.scheduler_decision_latency_ms,control_plane,False,False,True,True,True,False,True,True
control_plane.scheduler_tick_interval_ms,control_plane,True,True,False,True,False,False,True,True
crypto_identity.aead_algorithm,crypto_identity,True,True,False,True,False,False,True,True
crypto_identity.aead_mode,crypto_identity,False,False,True,True,True,False,True,True
crypto_identity.kem_algorithm,crypto_identity,True,True,False,True,False,False,True,True
crypto_identity.kem_family,crypto_identity,True,True,False,True,False,False,True,True
crypto_identity.kem_nist_level,crypto_identity,True,True,False,True,False,False,True,True
crypto_identity.kem_parameter_set,crypto_identity,False,False,True,True,True,False,True,True
crypto_identity.sig_algorithm,crypto_identity,True,True,False,True,False,False,True,True
crypto_identity.sig_family,crypto_identity,True,True,False,True,False,False,True,True
crypto_identity.sig_nist_level,crypto_identity,True,True,False,True,False,False,True,True
crypto_identity.sig_parameter_set,crypto_identity,False,False,True,True,True,False,True,True
crypto_identity.suite_order_index,crypto_identity,False,False,True,True,True,False,True,True
crypto_identity.suite_security_level,crypto_identity,True,True,False,True,False,False,True,True
crypto_identity.suite_tier,crypto_identity,False,False,True,True,True,False,True,True
crypto_primitives.ciphertext_size_bytes,crypto_primitives,True,True,False,True,True,False,True,True
crypto_primitives.hkdf_expand_time_ms,crypto_primitives,False,False,True,True,True,False,True,True
crypto_primitives.hkdf_extract_time_ms,crypto_primitives,False,False,True,True,True,False,True,True
