algorithm,algorithm_type,operation,nist_level,family,iteration,wall_time_ns,perf_time_ns,payload_size,public_key_bytes,secret_key_bytes,ciphertext_bytes,signature_bytes,shared_secret_bytes,source_file
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,0,32741,32778,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,1,26093,25981,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,2,25333,25185,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,3,25889,25759,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,4,25092,25000,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,5,24981,24963,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,6,25130,25000,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,7,25185,25093,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,8,25315,25259,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,9,25389,25297,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,10,25019,24870,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,11,25056,25037,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,12,24833,24760,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,13,25000,24889,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,14,25148,25074,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,15,24963,24852,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,16,24907,24778,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,17,25222,25167,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,18,24982,24889,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,19,24963,24852,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,20,24944,24889,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,21,25000,24926,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,22,24982,24852,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,23,28185,28185,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,24,25223,25111,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,25,25241,25185,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,26,25018,24889,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,27,25092,25055,1024,,,,,,AES_256_GCM_decrypt_1024B.json
AES-256-GCM,AEAD,decrypt,Classical,AES-GCM,28,24945,24871,1024,,,,,,AES_256_GCM_decrypt_1024B.json
