algorithm,algorithm_type,operation,nist_level,family,iteration,wall_time_ns,perf_time_ns,payload_size,public_key_bytes,secret_key_bytes,ciphertext_bytes,signature_bytes,shared_secret_bytes,source_file
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,0,55592851,55591073,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,1,55453851,55453111,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,2,55451426,55450240,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,3,55466296,55466056,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,4,55392518,55392332,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,5,55457055,55456814,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,6,55392518,55392388,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,7,55440999,55440703,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,8,55479073,55477240,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,9,55638055,55635777,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,10,55509315,55508944,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,11,55479147,55478870,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,12,55411240,55411092,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,13,55385666,55385462,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,14,55419499,55419259,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,15,55372333,55372166,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,16,55401166,55400926,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,17,55501444,55499314,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,18,55486518,55486259,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,19,55434685,55434166,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,20,55474629,55472944,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,21,55465315,55464962,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,22,55419148,55418907,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,23,55450999,55450684,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,24,55398388,55398147,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,25,55412999,55412740,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,26,55418500,55418278,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,27,55384351,55384166,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,28,55467999,55467796,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,29,55417833,55417611,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,30,55387147,55386907,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,31,55418370,55418130,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,32,55448111,55446925,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,33,55505926,55505629,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,34,55407444,55407222,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,35,55385407,55385259,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,36,55435592,55435406,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,37,55381462,55380796,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,38,55525241,55524129,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,39,55445666,55445555,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,40,55416740,55416499,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,41,55393258,55393055,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,42,55426555,55426296,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,43,55404129,55403925,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,44,55429667,55429444,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,45,55419722,55419555,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,46,55387611,55387444,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,47,55475759,55475407,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,48,55444259,55442629,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,49,55624629,55622833,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,50,55537889,55536333,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,51,55495556,55494999,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,52,55430333,55429740,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,53,55380148,55379833,,,,,,,Classic_McEliece_348864_decapsulate.json
Classic-McEliece-348864,KEM,decapsulate,L1,Classic-McEliece,54,55376926,55376684,,,,,,,Classic_McEliece_348864_decapsulate.json
