algorithm,algorithm_type,operation,nist_level,family,iteration,wall_time_ns,perf_time_ns,payload_size,public_key_bytes,secret_key_bytes,ciphertext_bytes,signature_bytes,shared_secret_bytes,source_file
Falcon-1024,SIG,keygen,L5,Falcon,0,48070033,48069014,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,1,46752828,46752495,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,2,62213153,62212468,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,3,42707048,42706528,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,4,48431680,48431422,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,5,41796695,41795250,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,6,49420774,49419515,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,7,44027345,44026437,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,8,44465363,44464882,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,9,59305114,59304114,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,10,56126926,56126205,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,11,46941310,46939810,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,12,57993484,57991724,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,13,41964398,41963121,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,14,74657031,74656457,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,15,45003975,45002771,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,16,48073236,48072903,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,17,67572768,67572434,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,18,42240917,42240473,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,19,51251108,51250998,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,20,49080329,49079829,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,21,57257928,57257242,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,22,50257738,50257367,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,23,42694510,42694121,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,24,51394164,51393813,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,25,41717325,41715676,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,26,50155200,50153886,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,27,45720809,45719865,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,28,41667121,41666880,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,29,43300362,43299659,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,30,67464212,67463804,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,31,49033885,49032440,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,32,45178883,45177567,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,33,49532922,49532571,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,34,43949456,43949326,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,35,54651704,54650500,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,36,54269369,54269055,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,37,58052947,58052502,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,38,46199290,46198809,,1793,2305,,,,Falcon_1024_keygen.json
Falcon-1024,SIG,keygen,L5,Falcon,39,53601314,53601017,,1793,2305,,,,Falcon_1024_keygen.json
