algorithm,algorithm_type,operation,nist_level,family,iteration,wall_time_ns,perf_time_ns,payload_size,public_key_bytes,secret_key_bytes,ciphertext_bytes,signature_bytes,shared_secret_bytes,source_file
cs-classicmceliece348864-aesgcm-falcon512,SUITE,full_handshake,L1,Suite,0,221022094,221021167,,261120,,96,656,32,cs_classicmceliece348864_aesgcm_falcon512_full_handshake.json
cs-classicmceliece348864-aesgcm-falcon512,SUITE,full_handshake,L1,Suite,1,217486258,217486035,,261120,,96,656,32,cs_classicmceliece348864_aesgcm_falcon512_full_handshake.json
cs-classicmceliece348864-aesgcm-falcon512,SUITE,full_handshake,L1,Suite,2,289795733,289795400,,261120,,96,656,32,cs_classicmceliece348864_aesgcm_falcon512_full_handshake.json
cs-classicmceliece348864-aesgcm-falcon512,SUITE,full_handshake,L1,Suite,3,434102719,434102164,,261120,,96,656,32,cs_classicmceliece348864_aesgcm_falcon512_full_handshake.json
cs-classicmceliece348864-aesgcm-falcon512,SUITE,full_handshake,L1,Suite,4,1369791369,1369790814,,261120,,96,656,32,cs_classicmceliece348864_aesgcm_falcon512_full_handshake.json
cs-classicmceliece348864-aesgcm-falcon512,SUITE,full_handshake,L1,Suite,5,1087248400,1087244530,,261120,,96,656,32,cs_classicmceliece348864_aesgcm_falcon512_full_handshake.json
cs-classicmceliece348864-aesgcm-falcon512,SUITE,full_handshake,L1,Suite,6,583038004,583037634,,261120,,96,656,32,cs_classicmceliece348864_aesgcm_falcon512_full_handshake.json
cs-classicmceliece348864-aesgcm-falcon512,SUITE,full_handshake,L1,Suite,7,575099295,575097962,,261120,,96,656,32,cs_classicmceliece348864_aesgcm_falcon512_full_handshake.json
cs-classicmceliece348864-aesgcm-falcon512,SUITE,full_handshake,L1,Suite,8,213744311,213743774,,261120,,96,656,32,cs_classicmceliece348864_aesgcm_falcon512_full_handshake.json
cs-classicmceliece348864-aesgcm-falcon512,SUITE,full_handshake,L1,Suite,9,361007336,361007170,,261120,,96,656,32,cs_classicmceliece348864_aesgcm_falcon512_full_handshake.json
cs-classicmceliece348864-aesgcm-falcon512,SUITE,full_handshake,L1,Suite,10,794185832,794185573,,261120,,96,656,32,cs_classicmceliece348864_aesgcm_falcon512_full_handshake.json
cs-classicmceliece348864-aesgcm-falcon512,SUITE,full_handshake,L1,Suite,11,1082630397,1082629916,,261120,,96,656,32,cs_classicmceliece348864_aesgcm_falcon512_full_handshake.json
cs-classicmceliece348864-aesgcm-falcon512,SUITE,full_handshake,L1,Suite,12,213945385,213945126,,261120,,96,656,32,cs_classicmceliece348864_aesgcm_falcon512_full_handshake.json
cs-classicmceliece348864-aesgcm-falcon512,SUITE,full_handshake,L1,Suite,13,650462883,650462550,,261120,,96,656,32,cs_classicmceliece348864_aesgcm_falcon512_full_handshake.json
