family,operation,count,mean_ns,median_ns,stdev_ns,min_ns,max_ns,p95_ns,mean_ms,median_ms,p95_ms
AES-GCM,decrypt,800,30770.6775,24749.5,28464.974345045066,7500,161130,77852,0.030770677500000003,0.0247495,0.077852
AES-GCM,encrypt,800,30296.61875,24259.5,28202.323246037566,7075,129426,76852,0.03029661875,0.0242595,0.076852
Ascon,decrypt,800,10407.08875,8796.0,8186.792493402772,4037,101963,21574,0.010407088750000001,0.008796,0.021574
Ascon,encrypt,800,9629.91,8370.0,6604.005556754329,3870,32834,20352,0.00962991,0.00837,0.020352
ChaCha20,decrypt,800,12653.34625,11139.0,9017.002069660752,6908,192964,22185,0.012653346250000001,0.011139,0.022185
ChaCha20,encrypt,800,19101.10625,10528.0,179987.67198227622,6482,5081967,20888,0.01910110625,0.010528,0.020888
Classic-McEliece,decapsulate,600,117971108.85166667,89376790.5,65942870.08600929,55371944,212182106,209175437,117.97110885166667,89.3767905,209.175437
Classic-McEliece,encapsulate,600,979589.2833333333,640167.5,749701.2681834163,247592,2433464,2090964,0.9795892833333333,0.6401675,2.090964
Classic-McEliece,keygen,600,3427599040.576667,969393698.0,5555914881.717713,151123914,36617415655,16084120310,3427.599040576667,969.393698,16084.12031
Falcon,keygen,400,34943282.1725,41608620.5,18332264.659228485,13642935,111869483,63057617,34.9432821725,41.6086205,63.057617
Falcon,sign,400,977847.265,1272556.5,333578.30763057567,626353,1798964,1328242,0.977847265,1.2725565,1.328242
Falcon,verify,400,153452.9325,192481.5,44640.27478881594,108704,417537,194723,0.1534529325,0.1924815,0.194723
HQC,decapsulate,600,225515371.80666667,211135272.0,130841640.4663841,72873327,401151881,392517506,225.51537180666668,211.135272,392.517506
HQC,encapsulate,600,142947236.52666667,135264007.5,83576024.71542056,44473956,252927707,248960520,142.94723652666667,135.2640075,248.96052
HQC,keygen,600,71047035.74833333,67357379.0,41549869.12432395,21992533,126315419,123684176,71.04703574833333,67.357379,123.684176
ML-DSA,keygen,600,429869.89666666667,414704.0,149193.44953648932,247648,962371,618001,0.42986989666666664,0.414704,0.618001
ML-DSA,sign,600,1464232.005,1199398.5,957954.9192286516,416389,6890690,3616595,1.464232005,1.1993985,3.616595
ML-DSA,verify,600,415216.41333333333,382454.0,151001.02578520053,245352,760945,616853,0.4152164133333333,0.382454,0.616853
ML-KEM,decapsulate,600,103815.25333333333,94148.5,39582.68359202544,65426,551001,152500,0.10381525333333333,0.0941485,0.1525
ML-KEM,encapsulate,600,91872.44833333333,86028.0,33137.404457414705,60185,394037,118871,0.09187244833333333,0.086028,0.118871
ML-KEM,keygen,600,123268.21833333334,107278.0,260807.36668063808,80019,6435041,145259,0.12326821833333333,0.107278,0.145259
SPHINCS+,keygen,600,220063030.105,193108695.0,43145378.55124476,185667311,287363861,281136004,220.063030105,193.108695,281.136004
SPHINCS+,sign,600,2126776096.56,2307461261.0,495471606.4238808,1459365300,4807127170,2602285664,2126.77609656,2307.461261,2602.285664
SPHINCS+,verify,600,2269445.908333333,2189057.0,667967.0853337201,1483371,3513854,3168521,2.269445908333333,2.189057,3.168521
Suite,full_handshake,4600,4326062910.109565,2253859461.0,5761790885.1256895,213388069,63136681036,17101396805,4326.062910109565,2253.859461,17101.396805
