algorithm,operation,count,mean_ns,median_ns,stdev_ns,min_ns,max_ns,p95_ns,mean_ms,median_ms,p95_ms
Classic-McEliece-348864,decapsulate,200,55446064.91,55427898.0,81049.22068409662,55371944,56185981,55592851,55.44606491,55.427898,55.592851
Classic-McEliece-348864,encapsulate,200,267561.13,259824.0,39193.56187417807,247592,650278,300723,0.26756113,0.259824,0.300723
Classic-McEliece-348864,keygen,200,333387967.425,228623058.0,222132282.72691047,151123914,1524755930,775097992,333.387967425,228.623058,775.097992
Classic-McEliece-460896,decapsulate,200,89402827.855,89376790.5,142068.8349433286,89326874,91198857,89558355,89.402827855,89.3767905,89.558355
Classic-McEliece-460896,encapsulate,200,661194.45,639889.5,74894.9866267201,594982,1112797,786519,0.66119445,0.6398895,0.786519
Classic-McEliece-460896,keygen,200,1114665990.52,911517381.0,774420577.2954772,465008530,5149965256,2623102347,1114.66599052,911.517381,2623.102347
Classic-McEliece-8192128,decapsulate,200,209064433.79,208999085.0,310242.02737732336,208875863,212182106,209295326,209.06443378999998,208.999085,209.295326
Classic-McEliece-8192128,encapsulate,200,2010012.27,1990714.5,78331.56409285638,1904057,2433464,2149594,2.01001227,1.9907145,2.149594
Classic-McEliece-8192128,keygen,200,8834743163.785,7065811823.0,6919740599.006205,2467110397,36617415655,25241498391,8834.743163785,7065.811823,25241.498391
HQC-128,decapsulate,200,73047421.585,73028845.5,120251.52442286497,72873327,73829846,73239438,73.047421585,73.0288455,73.239438
HQC-128,encapsulate,200,44665112.085,44536817.5,372407.0858423423,44473956,46894550,45645586,44.665112085000004,44.5368175,45.645586
HQC-128,keygen,200,22097541.745,22058098.5,214689.02225887642,21992533,24825239,22246089,22.097541745,22.0580985,22.246089
HQC-192,decapsulate,200,211188655.865,211135272.0,278547.6129043116,210847975,213354274,211539532,211.18865586500002,211.135272,211.539532
HQC-192,encapsulate,200,135386398.55,135264007.5,527807.8863286538,135100110,140495743,135847536,135.38639855000002,135.2640075,135.847536
HQC-192,keygen,200,67449170.21,67357379.0,442563.5490712363,67264249,72678031,67792657,67.44917020999999,67.357379,67.792657
HQC-256,decapsulate,200,392310037.97,392152773.5,853065.0858364059,391646598,401151881,392945709,392.31003797000005,392.1527735,392.945709
HQC-256,encapsulate,200,248790198.945,248674973.5,491976.97251757607,248457779,252927707,249217687,248.790198945,248.6749735,249.217687
HQC-256,keygen,200,123594395.29,123535240.5,282800.2593152982,123397380,126315419,123966065,123.59439529000001,123.5352405,123.966065
ML-KEM-1024,decapsulate,200,144294.72,136324.5,32829.37339087953,131538,551001,175963,0.14429472,0.1363245,0.175963
ML-KEM-1024,encapsulate,200,120824.455,117685.0,22372.800650627956,116685,394037,129759,0.120824455,0.117685,0.129759
ML-KEM-1024,keygen,200,142471.765,136204.0,29369.129418896544,134370,509667,163018,0.142471765,0.136204,0.163018
ML-KEM-512,decapsulate,200,70632.755,66759.0,22300.58799177433,65426,354927,83982,0.070632755,0.066759,0.083982
ML-KEM-512,encapsulate,200,65812.92,61667.0,27349.418960941483,60185,340759,72223,0.06581292,0.061667,0.072223
ML-KEM-512,keygen,200,116025.87,81740.5,449163.60760174255,80019,6435041,98278,0.11602586999999999,0.0817405,0.098278
ML-KEM-768,decapsulate,200,96518.285,94120.0,18277.944822887435,93444,347889,100186,0.09651828500000001,0.09412,0.100186
ML-KEM-768,encapsulate,200,88979.97,85981.0,22878.263914418614,84982,361352,91426,0.08897997,0.085981,0.091426
ML-KEM-768,keygen,200,111307.02,107259.0,39590.965883742196,105944,663797,116166,0.11130702,0.107259,0.116166
