algorithm,operation,count,mean_ns,median_ns,stdev_ns,min_ns,max_ns,p95_ns,mean_ms,median_ms,p95_ms
Falcon-1024,keygen,200,51014806.005,47292161.5,11289783.688686738,41596861,111869483,74300254,51.014806005000004,47.2921615,74.300254
Falcon-1024,sign,200,1307083.77,1295621.0,48230.03159375674,1268853,1798964,1389631,1.30708377,1.295621,1.389631
Falcon-1024,verify,200,195232.37,193148.0,16391.00967769746,192463,417537,202259,0.19523237,0.193148,0.202259
Falcon-512,keygen,200,18871758.34,17634789.5,5214380.885448108,13642935,41620380,29606094,18.87175834,17.6347895,29.606094
Falcon-512,sign,200,648610.76,641333.5,53844.59762305167,626353,1360649,664501,0.6486107600000001,0.6413335,0.664501
Falcon-512,verify,200,111673.495,109658.0,14774.003648265756,108704,307167,115519,0.111673495,0.109658,0.115519
ML-DSA-44,keygen,200,256626.995,251704.0,34007.95799012735,247648,719056,270463,0.25662699499999997,0.251704,0.270463
ML-DSA-44,sign,200,1033045.98,851630.5,691749.4392387138,416389,4112836,2683946,1.03304598,0.8516305,2.683946
ML-DSA-44,verify,200,248651.785,246194.0,16341.250654510588,245352,466686,255741,0.24865178500000001,0.246194,0.255741
ML-DSA-65,keygen,200,419028.06,414694.5,28130.134880022193,411666,798167,431760,0.41902806,0.4146945,0.43176
ML-DSA-65,sign,200,1591044.48,1288242.0,1015820.4004476914,609056,6890690,3771799,1.5910444799999999,1.288242,3.771799
ML-DSA-65,verify,200,384161.84,382445.0,10832.335623479292,380612,527037,391815,0.38416184000000003,0.382445,0.391815
ML-DSA-87,keygen,200,613954.635,609612.0,26690.426508540735,601278,962371,633889,0.613954635,0.609612,0.633889
ML-DSA-87,sign,200,1768605.555,1480473.0,977609.6954150693,919427,6168041,3757318,1.768605555,1.480473,3.757318
ML-DSA-87,verify,200,612835.615,610510.0,12111.621700990936,606834,760945,626389,0.612835615,0.61051,0.626389
SPHINCS+-SHA2-128s-simple,keygen,200,193257376.8,193108695.0,581902.8157920389,192903427,197675763,193818668,193.2573768,193.108695,193.818668
SPHINCS+-SHA2-128s-simple,sign,200,1460870150.11,1460286624.5,1713789.1412998522,1459365300,1470576807,1464233396,1460.87015011,1460.2866245,1464.233396
SPHINCS+-SHA2-128s-simple,verify,200,1490511.76,1488251.5,12063.75469616513,1483371,1647130,1495742,1.49051176,1.4882515,1.495742
SPHINCS+-SHA2-192s-simple,keygen,200,280879459.43,280552735.5,979953.0628324648,280256263,287363861,282853820,280.87945943,280.5527355,282.85382
SPHINCS+-SHA2-192s-simple,sign,200,2611102489.575,2598465466.5,156164572.43938982,2596174826,4807127170,2607769260,2611.1024895749997,2598.4654665,2607.76926
SPHINCS+-SHA2-192s-simple,verify,200,2199939.34,2189057.0,36157.225108019,2180816,2375854,2285946,2.19993934,2.189057,2.285946
SPHINCS+-SHA2-256s-simple,keygen,200,186052254.085,186004505.5,239383.2273281652,185667311,187628034,186502626,186.05225408500002,186.0045055,186.502626
SPHINCS+-SHA2-256s-simple,sign,200,2308355649.995,2307461261.0,2575460.9815398944,2305915556,2325331662,2314100691,2308.355649995,2307.461261,2314.100691
SPHINCS+-SHA2-256s-simple,verify,200,3117886.625,3090558.0,58818.74247299835,3079706,3513854,3226798,3.117886625,3.090558,3.226798
