Suite,KEM,SIG,AEAD,Level,Base Handshake ms,XGB Handshake ms,TST Handshake ms,Δ XGB %,Δ TST %,Base Total Crypto ms,XGB Total Crypto ms,TST Total Crypto ms,Δ XGB %,Δ TST %,Base Throughput Mbps,XGB Throughput Mbps,TST Throughput Mbps,Δ XGB %,Δ TST %,Base Pkt Loss %,XGB Pkt Loss %,TST Pkt Loss %,Δ XGB %,Δ TST %,Base Drone CPU Avg %,XGB Drone CPU Avg %,TST Drone CPU Avg %,Δ XGB %,Δ TST %,Base Drone CPU Peak %,XGB Drone CPU Peak %,TST Drone CPU Peak %,Δ XGB %,Δ TST %,Base Drone Temp °C,XGB Drone Temp °C,TST Drone Temp °C,Δ XGB %,Δ TST %,Base GCS CPU Avg %,XGB GCS CPU Avg %,TST GCS CPU Avg %,Δ XGB %,Δ TST %,Base GCS CPU Peak %,XGB GCS CPU Peak %,TST GCS CPU Peak %,Δ XGB %,Δ TST %,Base MAV Drone Msgs RX,XGB MAV Drone Msgs RX,TST MAV Drone Msgs RX,Δ XGB %,Δ TST %,Base MAV Drone StreamHz,XGB MAV Drone StreamHz,TST MAV Drone StreamHz,Δ XGB %,Δ TST %,Base Power Avg W,XGB Power Avg W,TST Power Avg W,Δ XGB %,Δ TST %,Base Energy Total J,XGB Energy Total J,TST Energy Total J,Δ XGB %,Δ TST %,Base Suite Active ms,XGB Suite Active ms,TST Suite Active ms,Δ XGB %,Δ TST %
cs-classicmceliece348864-aesgcm-falcon512,Classic-McEliece-348864,Falcon-512,AES-256-GCM,L1,206.11566,292.214774,130.898738,+41.77,-36.49,161.35234599999998,201.11500299999997,74.39550299999999,+24.64,-53.89,0.02872827807951079,0.030868274117356344,0.030159937594193408,+7.45,+4.98,0,0,0,,,15.270967741935484,40.71562500000001,86.471875,+166.62,+466.25,33.0,63.3,95.6,+91.82,+189.70,58.426,71.088,81.315,+21.67,+39.18,11.293103448275861,13.803448275862069,15.400000000000002,+22.23,+36.37,43.9,60.3,45.6,+37.36,+3.87,1606,1604,1630,-0.12,+1.49,101.3,98.02,98.18,-3.24,-3.08,0.0,0.0,0.0,,,0.0,0.0,0.0,,,11963.12563700485,12595.974705996923,12295.250905008288,+5.29,+2.78
cs-classicmceliece348864-aesgcm-mldsa44,Classic-McEliece-348864,ML-DSA-44,AES-256-GCM,L1,187.517441,182.861977,241.994237,-2.48,+29.05,132.255202,130.99307000000002,193.353663,-0.95,+46.20,0.020634695197157996,0.021877251061038855,0.02112297704815541,+6.02,+2.37,0,0,0,,,13.796428571428573,40.04482758620689,88.90344827586206,+190.26,+544.39,40.5,60.1,95.0,+48.40,+134.57,57.939,71.088,82.776,+22.69,+42.87,17.499999999999996,14.300000000000002,7.774074074074075,-18.29,-55.58,51.4,36.5,13.0,-28.99,-74.71,1208,1272,1290,+5.30,+6.79,84.4,85.85,85.42,+1.72,+1.21,0.0,0.0,0.0,,,0.0,0.0,0.0,,,11012.908008997329,11506.015965976985,11774.097913992591,+4.48,+6.91
cs-classicmceliece348864-aesgcm-sphincs128s,Classic-McEliece-348864,SPHINCS+-SHA2-128s-simple,AES-256-GCM,L1,1079.864758,1088.936596,1037.467489,+0.84,-3.93,1044.818706,1033.014528,971.795441,-1.13,-6.99,0.021877084985307653,0.021520809453229896,0.02203982569421352,-1.63,+0.74,0,0,0,,,15.307142857142859,41.237931034482756,88.56428571428569,+169.40,+478.58,35.2,64.7,96.1,+83.81,+173.01,59.4,73.036,82.776,+22.96,+39.35,12.862962962962964,13.332142857142857,7.630769230769232,+3.65,-40.68,44.4,46.6,13.2,+4.95,-70.27,1222,1269,1244,+3.85,+1.80,85.41,85.47,85.87,+0.07,+0.54,0.0,0.0,0.0,,,0.0,0.0,0.0,,,10324.958748009522,10737.886068003718,10360.517508990597,+4.00,+0.34
cs-classicmceliece348864-ascon128a-falcon512,Classic-McEliece-348864,Falcon-512,Ascon-128a,L1,275.496448,225.472077,126.849121,-18.16,-53.96,226.92728599999998,165.22415700000002,77.31307899999999,-27.19,-65.93,0.022931716535537314,0.02164012486985823,0.01995854291675775,-5.63,-12.97,0,0,0,,,15.24137931034483,41.0344827586207,89.39999999999999,+169.23,+486.56,50.8,66.0,94.6,+29.92,+86.22,58.913,72.549,82.289,+23.15,+39.68,15.207407407407405,10.844444444444445,10.492,-28.69,-31.01,49.0,37.2,53.0,-24.08,+8.16,1304,1264,1150,-3.07,-11.81,88.03,85.07,84.9,-3.36,-3.56,0.0,0.0,0.0,,,0.0,0.0,0.0,,,11490.81010100781,11471.283160004532,10191.926377010532,-0.17,-11.30
cs-classicmceliece348864-ascon128a-mldsa44,Classic-McEliece-348864,ML-DSA-44,Ascon-128a,L1,367.762329,154.017355,360.134163,-58.12,-2.07,317.625023,100.20487,311.453534,-68.45,-1.94,0.020998946497629838,0.021668588818898483,0.02190327344904582,+3.19,+4.31,0,0,0,,,13.23571428571428,39.87407407407408,88.25862068965517,+201.26,+566.82,36.2,60.6,93.6,+67.40,+158.56,58.913,71.575,82.289,+21.49,+39.68,8.223076923076924,9.73846153846154,13.07777777777778,+18.43,+59.04,14.0,19.5,50.5,+39.29,+260.71,1208,1187,1268,-1.74,+4.97,84.44,85.89,84.39,+1.72,-0.06,0.0,0.0,0.0,,,0.0,0.0,0.0,,,11013.50489302422,10497.037989000091,11442.673195997486,-4.69,+3.90
cs-classicmceliece348864-ascon128a-sphincs128s,Classic-McEliece-348864,SPHINCS+-SHA2-128s-simple,Ascon-128a,L1,895.147856,818.353566,995.401061,-8.58,+11.20,848.6144509999999,754.8236539999999,906.6110090000001,-11.05,+6.83,0.021400509239025464,0.02127849974909682,0.020465682030345534,-0.57,-4.37,0,0,0,,,15.346428571428572,39.707142857142856,89.2851851851852,+158.74,+481.80,33.8,61.3,94.6,+81.36,+179.88,60.374,71.088,82.776,+17.75,+37.11,26.018518518518515,13.785185185185183,13.28,-47.02,-48.96,61.5,51.2,35.6,-16.75,-42.11,1204,1206,1188,+0.17,-1.33,84.15,84.16,84.53,+0.01,+0.45,0.0,0.0,0.0,,,0.0,0.0,0.0,,,10562.739300978137,10615.410045982571,9939.370683976449,+0.50,-5.90
cs-classicmceliece348864-chacha20poly1305-falcon512,Classic-McEliece-348864,Falcon-512,ChaCha20-Poly1305,L1,124.102004,120.243148,127.577587,-3.11,+2.80,71.56544799999999,68.91190100000001,75.12475700000002,-3.71,+4.97,0.02437115781051589,0.021607012850779338,0.02015632845885688,-11.34,-17.29,0,0,0,,,17.99310344827586,38.32592592592592,85.23571428571427,+113.00,+373.71,100.0,64.1,95.1,-35.90,-4.90,58.426,71.575,81.802,+22.51,+40.01,12.162962962962963,8.149999999999999,14.984615384615383,-32.99,+23.20,33.1,17.2,49.9,-48.04,+50.76,1254,1187,1230,-5.34,-1.91,84.6,85.85,84.69,+1.48,+0.11,0.0,0.0,0.0,,,0.0,0.0,0.0,,,11453.53873501881,10526.952595013427,11192.911469988758,-8.09,-2.28
cs-classicmceliece348864-chacha20poly1305-mldsa44,Classic-McEliece-348864,ML-DSA-44,ChaCha20-Poly1305,L1,176.150893,120.875354,251.223669,-31.38,+42.62,131.090846,69.616273,197.30343699999997,-46.89,+50.51,0.020623333180154243,0.022547695568517483,0.020008999030974153,+9.33,-2.98,0,0,0,,,15.721428571428572,41.725000000000016,88.88846153846151,+165.40,+465.40,53.3,72.0,94.6,+35.08,+77.49,59.4,72.549,83.263,+22.14,+40.17,9.976923076923079,15.215384615384616,15.439999999999998,+52.51,+54.76,46.5,55.6,60.1,+19.57,+29.25,1225,1204,1150,-1.71,-6.12,85.59,84.05,85.22,-1.80,-0.43,0.0,0.0,0.0,,,0.0,0.0,0.0,,,10960.788832016988,11009.90561299841,10166.22569100582,+0.45,-7.25
cs-classicmceliece348864-chacha20poly1305-sphincs128s,Classic-McEliece-348864,SPHINCS+-SHA2-128s-simple,ChaCha20-Poly1305,L1,916.631469,924.527773,1123.958688,+0.86,+22.62,877.9192180000001,884.9089299999999,1036.678518,+0.80,+18.08,0.020459252013780363,0.021774085321957008,0.021005904238766717,+6.43,+2.67,0,0,0,,,13.79310344827586,40.60000000000001,88.81481481481481,+194.35,+543.91,36.6,61.5,96.0,+68.03,+162.30,59.4,71.088,82.776,+19.68,+39.35,18.196296296296296,12.959259259259259,7.035999999999998,-28.78,-61.33,57.4,36.3,11.7,-36.76,-79.62,1272,1229,1182,-3.38,-7.08,85.78,85.71,84.59,-0.08,-1.39,0.0,0.0,0.0,,,0.0,0.0,0.0,,,11107.346439006506,10436.626689013792,9651.000866026152,-6.04,-13.11
cs-classicmceliece460896-aesgcm-mldsa65,Classic-McEliece-460896,ML-DSA-65,AES-256-GCM,L3,257.363268,227.432923,331.511389,-11.63,+28.81,185.441076,149.24424399999998,238.07205599999995,-19.52,+28.38,0.021634008191166502,0.02066717538687766,0.021253771298979006,-4.47,-1.76,0,0,0,,,14.693103448275862,39.43666666666668,88.36296296296297,+168.40,+501.39,35.9,60.0,94.7,+67.13,+163.79,60.374,73.036,81.315,+20.97,+34.69,15.833333333333334,13.710714285714287,7.226923076923077,-13.41,-54.36,56.1,37.4,14.0,-33.33,-75.04,1250,1314,1203,+5.12,-3.76,84.36,85.53,85.83,+1.39,+1.74,0.0,0.0,0.0,,,0.0,0.0,0.0,,,11494.495046994416,12032.219949993305,10716.592213022523,+4.68,-6.77
cs-classicmceliece460896-aesgcm-sphincs192s,Classic-McEliece-460896,SPHINCS+-SHA2-192s-simple,AES-256-GCM,L3,48185.70030698902,48173.27967798337,48368.8982980093,-0.03,+0.38,,,,,,,,,,,0,0,0,,,12.755208333333334,38.38645833333333,87.5557894736842,+200.95,+586.43,36.5,60.3,96.6,+65.21,+164.66,59.887,74.01,81.315,+23.58,+35.78,,,,,,,,,,,4162,4161,4179,-0.02,+0.41,84.84,84.71,84.87,-0.15,+0.04,0.0,0.0,0.0,,,0.0,0.0,0.0,,,226.98471500189044,302.71648400230333,222.12065898929723,+33.36,-2.14
cs-classicmceliece460896-ascon128a-mldsa65,Classic-McEliece-460896,ML-DSA-65,Ascon-128a,L3,563.595202,228.903168,279.648435,-59.39,-50.38,530.838171,140.29499800000002,188.06261200000003,-73.57,-64.57,0.02106755567106799,0.020716709021116924,0.020284787653655108,-1.67,-3.72,0,0,0,,,13.763333333333337,39.71785714285714,89.65714285714283,+188.58,+551.42,38.6,67.0,97.5,+73.58,+152.59,60.374,72.549,82.776,+20.17,+37.11,10.160714285714288,6.961538461538461,15.307692307692308,-31.49,+50.66,50.1,10.4,55.2,-79.24,+10.18,1306,1226,1226,-6.13,-6.13,85.23,85.51,84.49,+0.33,-0.87,0.0,0.0,0.0,,,0.0,0.0,0.0,,,11803.552527999273,11029.164901003242,11113.747101975605,-6.56,-5.84
cs-classicmceliece460896-ascon128a-sphincs192s,Classic-McEliece-460896,SPHINCS+-SHA2-192s-simple,Ascon-128a,L3,2040.79843,1647.171461,1947.620755,-19.29,-4.57,1991.430778,1595.847227,1869.2790989999999,-19.86,-6.13,0.021679231545052267,0.020732100939327446,0.020836389781754512,-4.37,-3.89,0,0,0,,,15.166666666666664,39.746428571428574,88.47777777777777,+162.06,+483.37,40.5,61.1,95.2,+50.86,+135.06,61.348,74.497,83.263,+21.43,+35.72,17.392857142857142,13.465384615384616,7.572,-22.58,-56.46,56.8,47.7,13.7,-16.02,-75.88,1291,1203,1205,-6.82,-6.66,84.24,84.04,85.81,-0.24,+1.86,0.0,0.0,0.0,,,0.0,0.0,0.0,,,10412.5461980002,9803.155049012275,8839.535156002967,-5.85,-15.11
