Suite ID,Baseline (No DDoS) | KEM,Baseline (No DDoS) | KEM Family,Baseline (No DDoS) | KEM NIST,Baseline (No DDoS) | SIG,Baseline (No DDoS) | SIG Family,Baseline (No DDoS) | SIG NIST,Baseline (No DDoS) | AEAD,Baseline (No DDoS) | Security Level,Baseline (No DDoS) | Handshake ms,Baseline (No DDoS) | Handshake OK,Baseline (No DDoS) | KEM Keygen ms,Baseline (No DDoS) | KEM Encaps ms,Baseline (No DDoS) | KEM Decaps ms,Baseline (No DDoS) | SIG Sign ms,Baseline (No DDoS) | SIG Verify ms,Baseline (No DDoS) | Total Crypto ms,Baseline (No DDoS) | PubKey Bytes,Baseline (No DDoS) | Ciphertext Bytes,Baseline (No DDoS) | SIG Bytes,Baseline (No DDoS) | Throughput Mbps,Baseline (No DDoS) | Goodput Mbps,Baseline (No DDoS) | Wire Rate Mbps,Baseline (No DDoS) | Pkts Sent,Baseline (No DDoS) | Pkts Received,Baseline (No DDoS) | Pkt Loss %,Baseline (No DDoS) | Bytes Sent,Baseline (No DDoS) | Bytes Received,Baseline (No DDoS) | AEAD Enc Avg ns,Baseline (No DDoS) | AEAD Dec Avg ns,Baseline (No DDoS) | AEAD Enc Count,Baseline (No DDoS) | AEAD Dec Count,Baseline (No DDoS) | Suite Total ms,Baseline (No DDoS) | Suite Active ms,Baseline (No DDoS) | Drone CPU Avg %,Baseline (No DDoS) | Drone CPU Peak %,Baseline (No DDoS) | Drone CPU MHz,Baseline (No DDoS) | Drone Mem RSS MB,Baseline (No DDoS) | Drone Temp °C,Baseline (No DDoS) | Drone Load 1m,Baseline (No DDoS) | GCS CPU Avg %,Baseline (No DDoS) | GCS CPU Peak %,Baseline (No DDoS) | GCS CPU MHz,Baseline (No DDoS) | GCS Mem RSS MB,Baseline (No DDoS) | GCS Temp °C,Baseline (No DDoS) | Power Avg W,Baseline (No DDoS) | Power Peak W,Baseline (No DDoS) | Energy Total J,Baseline (No DDoS) | Energy/HS J,Baseline (No DDoS) | MAV Drone Msgs RX,Baseline (No DDoS) | MAV Drone RX pps,Baseline (No DDoS) | MAV Drone HB ms,Baseline (No DDoS) | MAV Drone SeqGap,Baseline (No DDoS) | MAV Drone StreamHz,Baseline (No DDoS) | MAV GCS Msgs RX,Baseline (No DDoS) | MAV GCS SeqGap,Baseline (No DDoS) | MAVLink CRC Err,Baseline (No DDoS) | MAVLink Decode Err,Baseline (No DDoS) | MAVLink Drop,Baseline (No DDoS) | MAVLink OOO,Baseline (No DDoS) | MAVLink Dup,Baseline (No DDoS) | FC Mode,Baseline (No DDoS) | FC Armed,Baseline (No DDoS) | FC Bat V,Baseline (No DDoS) | FC Bat A,Baseline (No DDoS) | FC CPU %,Baseline (No DDoS) | Pass/Fail,XGBoost Detector | KEM,XGBoost Detector | KEM Family,XGBoost Detector | KEM NIST,XGBoost Detector | SIG,XGBoost Detector | SIG Family,XGBoost Detector | SIG NIST,XGBoost Detector | AEAD,XGBoost Detector | Security Level,XGBoost Detector | Handshake ms,XGBoost Detector | Handshake OK,XGBoost Detector | KEM Keygen ms,XGBoost Detector | KEM Encaps ms,XGBoost Detector | KEM Decaps ms,XGBoost Detector | SIG Sign ms,XGBoost Detector | SIG Verify ms,XGBoost Detector | Total Crypto ms,XGBoost Detector | PubKey Bytes,XGBoost Detector | Ciphertext Bytes,XGBoost Detector | SIG Bytes,XGBoost Detector | Throughput Mbps,XGBoost Detector | Goodput Mbps,XGBoost Detector | Wire Rate Mbps,XGBoost Detector | Pkts Sent,XGBoost Detector | Pkts Received,XGBoost Detector | Pkt Loss %,XGBoost Detector | Bytes Sent,XGBoost Detector | Bytes Received,XGBoost Detector | AEAD Enc Avg ns,XGBoost Detector | AEAD Dec Avg ns,XGBoost Detector | AEAD Enc Count,XGBoost Detector | AEAD Dec Count,XGBoost Detector | Suite Total ms,XGBoost Detector | Suite Active ms,XGBoost Detector | Drone CPU Avg %,XGBoost Detector | Drone CPU Peak %,XGBoost Detector | Drone CPU MHz,XGBoost Detector | Drone Mem RSS MB,XGBoost Detector | Drone Temp °C,XGBoost Detector | Drone Load 1m,XGBoost Detector | GCS CPU Avg %,XGBoost Detector | GCS CPU Peak %,XGBoost Detector | GCS CPU MHz,XGBoost Detector | GCS Mem RSS MB,XGBoost Detector | GCS Temp °C,XGBoost Detector | Power Avg W,XGBoost Detector | Power Peak W,XGBoost Detector | Energy Total J,XGBoost Detector | Energy/HS J,XGBoost Detector | MAV Drone Msgs RX,XGBoost Detector | MAV Drone RX pps,XGBoost Detector | MAV Drone HB ms,XGBoost Detector | MAV Drone SeqGap,XGBoost Detector | MAV Drone StreamHz,XGBoost Detector | MAV GCS Msgs RX,XGBoost Detector | MAV GCS SeqGap,XGBoost Detector | MAVLink CRC Err,XGBoost Detector | MAVLink Decode Err,XGBoost Detector | MAVLink Drop,XGBoost Detector | MAVLink OOO,XGBoost Detector | MAVLink Dup,XGBoost Detector | FC Mode,XGBoost Detector | FC Armed,XGBoost Detector | FC Bat V,XGBoost Detector | FC Bat A,XGBoost Detector | FC CPU %,XGBoost Detector | Pass/Fail,TST Detector | KEM,TST Detector | KEM Family,TST Detector | KEM NIST,TST Detector | SIG,TST Detector | SIG Family,TST Detector | SIG NIST,TST Detector | AEAD,TST Detector | Security Level,TST Detector | Handshake ms,TST Detector | Handshake OK,TST Detector | KEM Keygen ms,TST Detector | KEM Encaps ms,TST Detector | KEM Decaps ms,TST Detector | SIG Sign ms,TST Detector | SIG Verify ms,TST Detector | Total Crypto ms,TST Detector | PubKey Bytes,TST Detector | Ciphertext Bytes,TST Detector | SIG Bytes,TST Detector | Throughput Mbps,TST Detector | Goodput Mbps,TST Detector | Wire Rate Mbps,TST Detector | Pkts Sent,TST Detector | Pkts Received,TST Detector | Pkt Loss %,TST Detector | Bytes Sent,TST Detector | Bytes Received,TST Detector | AEAD Enc Avg ns,TST Detector | AEAD Dec Avg ns,TST Detector | AEAD Enc Count,TST Detector | AEAD Dec Count,TST Detector | Suite Total ms,TST Detector | Suite Active ms,TST Detector | Drone CPU Avg %,TST Detector | Drone CPU Peak %,TST Detector | Drone CPU MHz,TST Detector | Drone Mem RSS MB,TST Detector | Drone Temp °C,TST Detector | Drone Load 1m,TST Detector | GCS CPU Avg %,TST Detector | GCS CPU Peak %,TST Detector | GCS CPU MHz,TST Detector | GCS Mem RSS MB,TST Detector | GCS Temp °C,TST Detector | Power Avg W,TST Detector | Power Peak W,TST Detector | Energy Total J,TST Detector | Energy/HS J,TST Detector | MAV Drone Msgs RX,TST Detector | MAV Drone RX pps,TST Detector | MAV Drone HB ms,TST Detector | MAV Drone SeqGap,TST Detector | MAV Drone StreamHz,TST Detector | MAV GCS Msgs RX,TST Detector | MAV GCS SeqGap,TST Detector | MAVLink CRC Err,TST Detector | MAVLink Decode Err,TST Detector | MAVLink Drop,TST Detector | MAVLink OOO,TST Detector | MAVLink Dup,TST Detector | FC Mode,TST Detector | FC Armed,TST Detector | FC Bat V,TST Detector | FC Bat A,TST Detector | FC CPU %,TST Detector | Pass/Fail
cs-classicmceliece348864-aesgcm-falcon512,Classic-McEliece-348864,Classic-McEliece,L1,Falcon-512,Falcon,L1,AES-256-GCM,L1,206.11566,True,134.0812,0.688541,18.7064,5.1828,2.693405,161.35234599999998,261120,96,654,0.02872827807951079,0.02872827807951079,0.06020700792208089,1187,20,0,542,42418,229273,231200,1187,20,15677.169488015352,11963.12563700485,15.270967741935484,33.0,1800.0,47.34765625,58.426,0.43408203125,11.293103448275861,43.9,2000.0,50.42578125,,0.0,0.0,0.0,0.0,1606,102.32,1002.4,0,101.3,5,0,0,0,0,0,0,STABILIZE,False,1.413,0.98,47.4,PASS,Classic-McEliece-348864,Classic-McEliece,L1,Falcon-512,Falcon,L1,AES-256-GCM,L1,292.214774,True,175.515,3.2048,18.7033,0.7939,2.898003,201.11500299999997,261120,96,652,0.030868274117356344,0.030868274117356344,0.05997281017405883,1152,23,0,667,47935,258124,242192,1152,23,16182.373431976885,12595.974705996923,40.71562500000001,63.3,1800.0,47.1640625,71.088,1.611328125,13.803448275862069,60.3,2000.0,50.609375,,0.0,0.0,0.0,0.0,1604,99.0,1000.34,0,98.02,3,0,0,0,0,0,0,STABILIZE,False,1.407,0.98,46.8,PASS,Classic-McEliece-348864,Classic-McEliece,L1,Falcon-512,Falcon,L1,AES-256-GCM,L1,130.898738,True,50.8902,1.433417,17.0639,2.0088,2.999186,74.39550299999999,261120,96,656,0.030159937594193408,0.030159937594193408,0.05822540796694034,1084,22,0,648,45705,310521,334540,1084,22,16423.388130991952,12295.250905008288,86.471875,95.6,1800.0,46.13671875,81.315,3.1533203125,15.400000000000002,45.6,1520.0,50.7734375,,0.0,0.0,0.0,0.0,1630,99.16,995.56,0,98.18,23,0,0,0,0,0,0,STABILIZE,False,1.4,0.98,46.8,PASS
cs-classicmceliece348864-aesgcm-mldsa44,Classic-McEliece-348864,Classic-McEliece,L1,ML-DSA-44,ML-DSA,L1,AES-256-GCM,L1,187.517441,True,110.2848,0.663763,17.4717,0.9657,2.869239,132.255202,261120,96,2420,0.020634695197157996,0.020634695197157996,0.04559377047277412,865,16,0,443,27963,229075,222942,865,16,14128.696870990098,11012.908008997329,13.796428571428573,40.5,1800.0,48.06640625,57.939,0.37744140625,17.499999999999996,51.4,2000.0,50.43359375,,0.0,0.0,0.0,0.0,1208,85.39,1000.21,0,84.4,21,0,0,0,0,0,0,STABILIZE,False,1.41,0.98,47.7,PASS,Classic-McEliece-348864,Classic-McEliece,L1,ML-DSA-44,ML-DSA,L1,AES-256-GCM,L1,182.861977,True,109.2912,0.583056,17.3163,0.8954,2.907114,130.99307000000002,261120,96,2420,0.021877251061038855,0.021877251061038855,0.0483698268493358,960,17,0,486,30979,247319,224459,960,17,14640.101653989404,11506.015965976985,40.04482758620689,60.1,1800.0,48.00390625,71.088,1.5087890625,14.300000000000002,36.5,2000.0,51.109375,,0.0,0.0,0.0,0.0,1272,86.8,1000.82,0,85.85,43,0,0,0,0,0,0,STABILIZE,False,1.4,0.98,50.3,PASS,Classic-McEliece-348864,Classic-McEliece,L1,ML-DSA-44,ML-DSA,L1,AES-256-GCM,L1,241.994237,True,170.6286,1.008235,17.458,0.9042,3.354628,193.353663,261120,96,2420,0.02112297704815541,0.02112297704815541,0.046720861676057074,949,17,0,489,30599,332445,294352,949,17,14898.663285013754,11774.097913992591,88.90344827586206,95.0,1800.0,46.87109375,82.776,4.07763671875,7.774074074074075,13.0,2000.0,50.62890625,,0.0,0.0,0.0,0.0,1290,86.43,1001.61,0,85.42,43,0,0,0,0,0,0,STABILIZE,False,1.4,0.98,49.5,PASS
cs-classicmceliece348864-aesgcm-sphincs128s,Classic-McEliece-348864,Classic-McEliece,L1,SPHINCS+-SHA2-128s-simple,SPHINCS+,L1,AES-256-GCM,L1,1079.864758,True,236.0701,0.636263,28.2452,775.9209,3.946243,1044.818706,261120,96,7856,0.021877084985307653,0.021877084985307653,0.04837830466841293,862,15,0,422,27813,224670,264465,862,15,14117.965451005148,10324.958748009522,15.307142857142859,35.2,1800.0,48.15234375,59.4,0.8330078125,12.862962962962964,44.4,2000.0,50.40234375,,0.0,0.0,0.0,0.0,1222,86.4,1000.67,0,85.41,41,0,0,0,0,0,0,STABILIZE,False,1.407,0.98,45.6,PASS,Classic-McEliece-348864,Classic-McEliece,L1,SPHINCS+-SHA2-128s-simple,SPHINCS+,L1,AES-256-GCM,L1,1088.936596,True,139.3165,1.819298,29.5868,855.0457,7.24623,1033.014528,261120,96,7856,0.021520809453229896,0.021520809453229896,0.04755647403650802,881,16,0,443,28443,261480,244052,882,16,14651.578646997223,10737.886068003718,41.237931034482756,64.7,1800.0,48.21484375,73.036,1.8701171875,13.332142857142857,46.6,2000.0,51.12109375,,0.0,0.0,0.0,0.0,1269,86.5,1000.21,0,85.47,41,0,0,0,0,0,0,STABILIZE,False,1.403,0.98,49.6,PASS,Classic-McEliece-348864,Classic-McEliece,L1,SPHINCS+-SHA2-128s-simple,SPHINCS+,L1,AES-256-GCM,L1,1037.467489,True,174.4073,2.972706,33.3225,748.0961,12.996835,971.795441,261120,96,7856,0.02203982569421352,0.02203982569421352,0.048721118376757536,871,15,0,425,28118,312514,282826,871,15,14304.74886498996,10360.517508990597,88.56428571428569,96.1,1800.0,47.00390625,82.776,4.15576171875,7.630769230769232,13.2,2000.0,50.72265625,,0.0,0.0,0.0,0.0,1244,86.85,1000.18,0,85.87,41,0,0,0,0,0,0,STABILIZE,False,1.39,0.98,48.7,PASS
cs-classicmceliece348864-ascon128a-falcon512,Classic-McEliece-348864,Classic-McEliece,L1,Falcon-512,Falcon,L1,Ascon-128a,L1,275.496448,True,203.5282,0.748708,19.1779,0.841,2.631478,226.92728599999998,261120,96,657,0.022931716535537314,0.022931716535537314,0.05106132595025131,983,53,0,1040,31898,45860,48129,983,53,14635.773479007185,11490.81010100781,15.24137931034483,50.8,1800.0,48.0546875,58.913,0.3818359375,15.207407407407405,49.0,2000.0,50.46484375,,0.0,0.0,0.0,0.0,1304,88.99,1000.19,0,88.03,41,0,0,0,0,0,0,STABILIZE,False,1.417,0.98,45.4,PASS,Classic-McEliece-348864,Classic-McEliece,L1,Falcon-512,Falcon,L1,Ascon-128a,L1,225.472077,True,142.2425,0.761927,17.2536,0.8072,4.15893,165.22415700000002,261120,96,656,0.02164012486985823,0.02164012486985823,0.047859336426648115,947,17,0,464,30566,49505,62598,947,17,14654.958952014567,11471.283160004532,41.0344827586207,66.0,1800.0,47.99609375,72.549,1.36962890625,10.844444444444445,37.2,2000.0,50.75390625,,0.0,0.0,0.0,0.0,1264,86.09,999.89,0,85.07,21,0,0,0,0,0,0,STABILIZE,False,1.417,0.99,47.3,PASS,Classic-McEliece-348864,Classic-McEliece,L1,Falcon-512,Falcon,L1,Ascon-128a,L1,126.849121,True,51.2463,0.893476,21.1801,0.7995,3.193703,77.31307899999999,261120,96,656,0.01995854291675775,0.01995854291675775,0.044142391080729364,776,14,0,404,25023,59204,79859,776,14,13334.212015994126,10191.926377010532,89.39999999999999,94.6,1800.0,46.86328125,82.289,3.9013671875,10.492,53.0,2000.0,50.4609375,,0.0,0.0,0.0,0.0,1150,85.88,999.75,0,84.9,20,0,0,0,0,0,0,STABILIZE,False,1.412,0.98,46.5,PASS
cs-classicmceliece348864-ascon128a-mldsa44,Classic-McEliece-348864,Classic-McEliece,L1,ML-DSA-44,ML-DSA,L1,Ascon-128a,L1,367.762329,True,295.1683,0.762523,18.1745,0.705,2.8147,317.625023,261120,96,2420,0.020998946497629838,0.020998946497629838,0.046409930804474926,881,16,0,443,28466,45584,57701,881,16,14122.872617008397,11013.50489302422,13.23571428571428,36.2,1800.0,48.13671875,58.913,0.38232421875,8.223076923076924,14.0,2000.0,50.53125,,0.0,0.0,0.0,0.0,1208,85.43,1000.22,0,84.44,0,0,0,0,0,0,0,STABILIZE,False,1.407,0.98,46.5,PASS,Classic-McEliece-348864,Classic-McEliece,L1,ML-DSA-44,ML-DSA,L1,Ascon-128a,L1,154.017355,True,78.2513,0.684482,17.636,0.7289,2.904188,100.20487,261120,96,2420,0.021668588818898483,0.021668588818898483,0.04788398408453122,866,16,0,443,27989,48952,61881,866,16,13640.53304598201,10497.037989000091,39.87407407407408,60.6,1800.0,48.0859375,71.575,1.65185546875,9.73846153846154,19.5,2000.0,51.09765625,,0.0,0.0,0.0,0.0,1187,86.92,999.93,0,85.89,20,0,0,0,0,0,0,STABILIZE,False,1.407,0.98,48.1,PASS,Classic-McEliece-348864,Classic-McEliece,L1,ML-DSA-44,ML-DSA,L1,Ascon-128a,L1,360.134163,True,267.8644,1.088568,33.3695,1.7052,7.425866,311.453534,261120,96,2420,0.02190327344904582,0.02190327344904582,0.048433437755948106,957,16,0,446,30883,56754,88898,957,16,14832.903230999364,11442.673195997486,88.25862068965517,93.6,1800.0,46.9765625,82.289,3.99365234375,13.07777777777778,50.5,2000.0,50.9375,,0.0,0.0,0.0,0.0,1268,85.4,1000.33,0,84.39,34,0,0,0,0,0,0,STABILIZE,False,1.382,0.98,46.6,PASS
cs-classicmceliece348864-ascon128a-sphincs128s,Classic-McEliece-348864,Classic-McEliece,L1,SPHINCS+-SHA2-128s-simple,SPHINCS+,L1,Ascon-128a,L1,895.147856,True,108.1076,0.68717,27.4311,708.1188,4.269781,848.6144509999999,261120,96,7856,0.021400509239025464,0.021400509239025464,0.047334690912394305,862,16,0,443,27813,47776,59663,862,16,14119.696615991415,10562.739300978137,15.346428571428572,33.8,1800.0,48.3046875,60.374,0.990234375,26.018518518518515,61.5,2000.0,50.25,,0.0,0.0,0.0,0.0,1204,85.14,1000.32,0,84.15,41,0,0,0,0,0,0,STABILIZE,False,1.417,0.98,44.8,PASS,Classic-McEliece-348864,Classic-McEliece,L1,SPHINCS+-SHA2-128s-simple,SPHINCS+,L1,Ascon-128a,L1,818.353566,True,47.5539,0.924871,21.4899,680.6087,4.246283,754.8236539999999,261120,96,7856,0.02127849974909682,0.02127849974909682,0.04705461191195705,862,15,0,422,27813,48243,61649,862,15,14134.688177000498,10615.410045982571,39.707142857142856,61.3,1800.0,48.234375,71.088,1.59423828125,13.785185185185183,51.2,2000.0,51.09765625,,0.0,0.0,0.0,0.0,1206,85.22,999.48,0,84.16,21,0,0,0,0,0,0,STABILIZE,False,1.376,0.97,47.8,PASS,Classic-McEliece-348864,Classic-McEliece,L1,SPHINCS+-SHA2-128s-simple,SPHINCS+,L1,Ascon-128a,L1,995.401061,True,50.1326,0.87181,38.7853,809.7418,7.079499,906.6110090000001,261120,96,7856,0.020465682030345534,0.020465682030345534,0.04526403273451613,776,14,0,404,25023,72745,72175,776,14,13872.06548199174,9939.370683976449,89.2851851851852,94.6,1800.0,47.01953125,82.776,4.85888671875,13.28,35.6,1520.0,50.78515625,,0.0,0.0,0.0,0.0,1188,85.54,1002.02,0,84.53,20,0,0,0,0,0,0,STABILIZE,False,1.402,0.98,47.9,PASS
cs-classicmceliece348864-chacha20poly1305-falcon512,Classic-McEliece-348864,Classic-McEliece,L1,Falcon-512,Falcon,L1,ChaCha20-Poly1305,L1,124.102004,True,48.7645,0.859653,18.2967,0.7833,2.861295,71.56544799999999,261120,96,657,0.02437115781051589,0.02437115781051589,0.05455362001698193,1020,88,0,1627,33265,216883,163023,1020,88,14627.463553013513,11453.53873501881,17.99310344827586,100.0,1800.0,48.015625,58.426,0.49169921875,12.162962962962963,33.1,2000.0,50.19921875,,0.0,0.0,0.0,0.0,1254,85.63,1003.09,0,84.6,10,0,0,0,0,0,0,STABILIZE,False,1.41,0.98,46.6,PASS,Classic-McEliece-348864,Classic-McEliece,L1,Falcon-512,Falcon,L1,ChaCha20-Poly1305,L1,120.243148,True,47.0197,0.838742,17.6991,0.8218,2.532559,68.91190100000001,261120,96,657,0.021607012850779338,0.021607012850779338,0.047747911417222344,866,16,0,443,27989,244220,187422,866,16,13653.450487996452,10526.952595013427,38.32592592592592,64.1,1800.0,47.9296875,71.575,1.47509765625,8.149999999999999,17.2,2000.0,50.39453125,,0.0,0.0,0.0,0.0,1187,86.87,1000.63,0,85.85,21,0,0,0,0,0,0,STABILIZE,False,1.409,0.98,48.1,PASS,Classic-McEliece-348864,Classic-McEliece,L1,Falcon-512,Falcon,L1,ChaCha20-Poly1305,L1,127.577587,True,48.2274,1.031975,17.7523,0.7912,7.321882,75.12475700000002,261120,96,655,0.02015632845885688,0.02015632845885688,0.04457464006016132,861,15,0,425,27776,280003,310216,861,15,14341.121196979657,11192.911469988758,85.23571428571427,95.1,1800.0,46.8125,81.802,3.50146484375,14.984615384615383,49.9,2000.0,50.54296875,,0.0,0.0,0.0,0.0,1230,85.66,1000.89,0,84.69,43,0,0,0,0,0,0,STABILIZE,False,1.396,0.98,50.0,PASS
cs-classicmceliece348864-chacha20poly1305-mldsa44,Classic-McEliece-348864,Classic-McEliece,L1,ML-DSA-44,ML-DSA,L1,ChaCha20-Poly1305,L1,176.150893,True,108.5842,0.747319,17.9013,0.8884,2.969627,131.090846,261120,96,2420,0.020623333180154243,0.020623333180154243,0.045615694970741784,862,16,0,443,27813,215043,215333,862,16,14129.901013016934,10960.788832016988,15.721428571428572,53.3,1800.0,48.12109375,59.4,0.29345703125,9.976923076923079,46.5,2000.0,50.48828125,,0.0,0.0,0.0,0.0,1225,86.58,1000.22,0,85.59,20,0,0,0,0,0,0,STABILIZE,False,1.413,0.98,49.0,PASS,Classic-McEliece-348864,Classic-McEliece,L1,ML-DSA-44,ML-DSA,L1,ChaCha20-Poly1305,L1,120.875354,True,47.3419,0.78013,17.6268,0.9252,2.942243,69.616273,261120,96,2420,0.022547695568517483,0.022547695568517483,0.0498656409326367,948,16,0,443,30588,226308,225031,948,16,14141.45167300012,11009.90561299841,41.725000000000016,72.0,1800.0,48.078125,72.549,1.54443359375,15.215384615384616,55.6,2000.0,51.1015625,,0.0,0.0,0.0,0.0,1204,85.04,1000.72,0,84.05,20,0,0,0,0,0,0,STABILIZE,False,1.399,0.98,47.5,PASS,Classic-McEliece-348864,Classic-McEliece,L1,ML-DSA-44,ML-DSA,L1,ChaCha20-Poly1305,L1,251.223669,True,169.015,0.826921,23.6046,0.7061,3.150816,197.30343699999997,261120,96,2420,0.020008999030974153,0.020008999030974153,0.044253985075112814,776,14,0,404,25023,276139,301551,776,14,13306.757432990707,10166.22569100582,88.88846153846151,94.6,1800.0,46.96484375,83.263,4.0546875,15.439999999999998,60.1,2000.0,50.87109375,,0.0,0.0,0.0,0.0,1150,86.19,999.16,0,85.22,20,0,0,0,0,0,0,STABILIZE,False,1.401,0.98,46.8,PASS
cs-classicmceliece348864-chacha20poly1305-sphincs128s,Classic-McEliece-348864,Classic-McEliece,L1,SPHINCS+-SHA2-128s-simple,SPHINCS+,L1,ChaCha20-Poly1305,L1,916.631469,True,142.5125,0.715671,35.0057,695.6724,4.012947,877.9192180000001,261120,96,7856,0.020459252013780363,0.020459252013780363,0.04520611675860468,865,16,0,443,27963,204078,203142,865,16,14632.152580015827,11107.346439006506,13.79310344827586,36.6,1800.0,48.1640625,59.4,1.17822265625,18.196296296296296,57.4,2000.0,50.50390625,,0.0,0.0,0.0,0.0,1272,86.81,1000.25,0,85.78,21,0,0,0,0,0,0,STABILIZE,False,1.4,0.98,47.0,PASS,Classic-McEliece-348864,Classic-McEliece,L1,SPHINCS+-SHA2-128s-simple,SPHINCS+,L1,ChaCha20-Poly1305,L1,924.527773,True,107.3787,1.548613,33.0176,737.9749,4.989117,884.9089299999999,261120,96,7856,0.021774085321957008,0.021774085321957008,0.04811133088898936,865,16,0,443,27963,245928,214170,865,16,14159.425581019605,10436.626689013792,40.60000000000001,61.5,1800.0,48.23046875,71.088,1.6767578125,12.959259259259259,36.3,2000.0,51.09375,,0.0,0.0,0.0,0.0,1229,86.69,1000.86,0,85.71,43,0,0,0,0,0,0,STABILIZE,False,1.397,0.98,50.1,PASS,Classic-McEliece-348864,Classic-McEliece,L1,SPHINCS+-SHA2-128s-simple,SPHINCS+,L1,ChaCha20-Poly1305,L1,1123.958688,True,138.8845,5.031732,23.2099,864.3946,5.157786,1036.678518,261120,96,7856,0.021005904238766717,0.021005904238766717,0.04644823953731322,775,12,0,340,25001,323639,312660,775,12,13790.874714002712,9651.000866026152,88.81481481481481,96.0,1800.0,47.0078125,82.776,4.50927734375,7.035999999999998,11.7,2000.0,50.91015625,,0.0,0.0,0.0,0.0,1182,85.61,1001.41,0,84.59,21,0,0,0,0,0,0,STABILIZE,False,1.402,0.97,47.8,PASS
cs-classicmceliece460896-aesgcm-mldsa65,Classic-McEliece-460896,Classic-McEliece,L3,ML-DSA-65,ML-DSA,L3,AES-256-GCM,L3,257.363268,True,133.6565,1.271726,43.8768,1.8727,4.76335,185.441076,524160,156,3309,0.021634008191166502,0.021634008191166502,0.04785455974804486,948,18,0,507,30577,232876,239452,948,18,14619.067855004687,11494.495046994416,14.693103448275862,35.9,1800.0,48.79296875,60.374,1.01220703125,15.833333333333334,56.1,2000.0,50.734375,,0.0,0.0,0.0,0.0,1250,85.38,998.79,0,84.36,28,0,0,0,0,0,0,STABILIZE,False,1.413,0.98,47.9,PASS,Classic-McEliece-460896,Classic-McEliece,L3,ML-DSA-65,ML-DSA,L3,AES-256-GCM,L3,227.432923,True,95.947,1.905187,41.6595,1.8894,7.843157,149.24424399999998,524160,156,3309,0.02066717538687766,0.02066717538687766,0.04571591961301423,948,18,0,507,30577,239840,219910,948,18,15154.52284400817,12032.219949993305,39.43666666666668,60.0,1800.0,48.62890625,73.036,1.86962890625,13.710714285714287,37.4,2000.0,51.44921875,,0.0,0.0,0.0,0.0,1314,86.59,1000.65,0,85.53,42,0,0,0,0,0,0,STABILIZE,False,1.407,0.98,47.8,PASS,Classic-McEliece-460896,Classic-McEliece,L3,ML-DSA-65,ML-DSA,L3,AES-256-GCM,L3,331.511389,True,179.7069,4.057001,42.7112,2.2102,9.386755,238.07205599999995,524160,156,3309,0.021253771298979006,0.021253771298979006,0.046990310911342474,869,15,0,425,28046,315269,595637,869,15,13850.855180004146,10716.592213022523,88.36296296296297,94.7,1800.0,47.2265625,81.315,4.9208984375,7.226923076923077,14.0,1520.0,51.140625,,0.0,0.0,0.0,0.0,1203,86.77,1000.52,0,85.83,20,0,0,0,0,0,0,STABILIZE,False,1.398,0.98,47.2,PASS
